Timestamp,Length,Data (Hex),Data (ASCII),Data (Raw)
15:30:54.751,64,2a 2a 2a 2a 2a 2a 20 52 65 63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 49 44 3a 20 34 32 0d 0a 44 61 74 61 2f 50 61 79 6c 6f 61 64 3a 20 48 65 6c 6c 6f 20,"****** Receiver ******************
ID: 42
Data/Payload: Hello",b'****** Receiver ******************\r\nID: 42\r\nData/Payload: Hello '
15:30:54.813,64,66 72 6f 6d 20 45 53 50 33 32 20 28 54 72 61 6e 73 6d 69 74 74 65 72 29 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,"from ESP32 (Transmitter)
**************************************",b'from ESP32 (Transmitter)\r\n**************************************'
15:30:54.887,64,2a 2a 2a 2a 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 20 52 65 63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,"****
Decoding...
****************** Receiver *****************",b'****\r\nDecoding...\r\n****************** Receiver *****************'
15:30:54.948,64,2a 0d 0a 49 44 3a 20 34 32 0d 0a 44 61 74 61 2f 50 61 79 6c 6f 61 64 3a 20 48 65 6c 6c 6f 20 66 72 6f 6d 20 45 53 50 33 32 20 28 54 72 61 6e 73 6d 69 74 74 65 72 29 0d 0a 2a 2a 2a 2a 2a 2a 2a,"*
ID: 42
Data/Payload: Hello from ESP32 (Transmitter)
*******",b'*\r\nID: 42\r\nData/Payload: Hello from ESP32 (Transmitter)\r\n*******'
15:30:55.020,64,2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,"***********************************
Decoding...
**************",b'***********************************\r\nDecoding...\r\n**************'
15:30:55.081,64,2a 2a 2a 2a 20 52 65 63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 49 44 3a 20 34 32 0d 0a 44 61 74 61 2f 50 61 79 6c 6f 61 64 3a 20 48 65 6c 6c 6f 20 66 72,"**** Receiver ******************
ID: 42
Data/Payload: Hello fr",b'**** Receiver ******************\r\nID: 42\r\nData/Payload: Hello fr'
15:30:55.153,64,6f 6d 20 45 53 50 33 32 20 28 54 72 61 6e 73 6d 69 74 74 65 72 29 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,"om ESP32 (Transmitter)
****************************************",b'om ESP32 (Transmitter)\r\n****************************************'
15:30:55.215,64,2a 2a 0d 0a 53 65 72 69 61 6c 32 20 6e 6f 74 20 61 76 61 69 6c 61 62 6c 65 2e 2e 2e 0d 0a 44 65 63 6f 64 69 6e 67 2e 2e 2e 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 20 52 65,"**
Serial2 not available...
Decoding...
****************** Re",b'**\r\nSerial2 not available...\r\nDecoding...\r\n****************** Re'
15:30:55.287,64,63 65 69 76 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 49 44 3a 20 34 32 0d 0a 44 61 74 61 2f 50 61 79 6c 6f 61 64 3a 20 48 65 6c 6c 6f 20 66 72 6f 6d 20 45 53 50 33,"ceiver ******************
ID: 42
Data/Payload: Hello from ESP3",b'ceiver ******************\r\nID: 42\r\nData/Payload: Hello from ESP3'
15:30:55.350,64,32 20 28 54 72 61 6e 73 6d 69 74 74 65 72 29 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 44 65 63,"2 (Transmitter)
******************************************
Dec",b'2 (Transmitter)\r\n******************************************\r\nDec'
