Timestamp,Length,Data (Hex),Data (ASCII),Data (Raw)
15:30:09.552,64,2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 20 54 72 61 6e 73 6d 69 74 74 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 50 72 6f 74 6f 62 75 66 20 6d 65 73 73,"****************** Transmitter ******************
Protobuf mess",b'****************** Transmitter ******************\r\nProtobuf mess'
15:30:09.626,68,61 67 65 20 74 72 61 6e 73 6d 69 74 74 65 64 20 21 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a,"age transmitted !
***********************************************",b'age transmitted !\r\n***********************************************\r\n'
15:30:09.647,13,45 6e 63 6f 64 69 6e 67 2e 2e 2e 0d 0a,Encoding...,b'Encoding...\r\n'
15:30:09.731,64,2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 20 54 72 61 6e 73 6d 69 74 74 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 50 72 6f 74 6f 62 75 66 20 6d 65 73 73,"****************** Transmitter ******************
Protobuf mess",b'****************** Transmitter ******************\r\nProtobuf mess'
15:30:09.793,64,61 67 65 20 74 72 61 6e 73 6d 69 74 74 65 64 20 21 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,"age transmitted !
*********************************************",b'age transmitted !\r\n*********************************************'
15:30:09.804,4,2a 2a 0d 0a,**,b'**\r\n'
15:30:09.814,13,45 6e 63 6f 64 69 6e 67 2e 2e 2e 0d 0a,Encoding...,b'Encoding...\r\n'
15:30:09.896,64,2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 20 54 72 61 6e 73 6d 69 74 74 65 72 20 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a 50 72 6f 74 6f 62 75 66 20 6d 65 73 73,"****************** Transmitter ******************
Protobuf mess",b'****************** Transmitter ******************\r\nProtobuf mess'
15:30:09.969,68,61 67 65 20 74 72 61 6e 73 6d 69 74 74 65 64 20 21 0d 0a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 0d 0a,"age transmitted !
***********************************************",b'age transmitted !\r\n***********************************************\r\n'
15:30:09.989,13,45 6e 63 6f 64 69 6e 67 2e 2e 2e 0d 0a,Encoding...,b'Encoding...\r\n'
